algoritmo,caso,tamanho,run,tempo_s,comparacoes,movimentacoes
BubbleSort,ordenado,100,1,0.00100000,99,0
SelectionSort,ordenado,100,1,0.00000000,4950,0
InsertionSort,ordenado,100,1,0.00000000,99,198
ContagemDosMenores,ordenado,100,1,0.00000000,4950,200
BubbleSort,ordenado,1000,1,0.00000000,999,0
SelectionSort,ordenado,1000,1,0.00100000,499500,0
InsertionSort,ordenado,1000,1,0.00000000,999,1998
ContagemDosMenores,ordenado,1000,1,0.00200000,499500,2000
BubbleSort,ordenado,10000,1,0.00000000,9999,0
SelectionSort,ordenado,10000,1,0.11600000,49995000,0
InsertionSort,ordenado,10000,1,0.00000000,9999,19998
ContagemDosMenores,ordenado,10000,1,0.13800000,49995000,20000
BubbleSort,ordenado,100000,1,0.00100000,99999,0
SelectionSort,ordenado,100000,1,11.35000000,4999950000,0
InsertionSort,ordenado,100000,1,0.00000000,99999,199998
ContagemDosMenores,ordenado,100000,1,13.66100000,4999950000,200000
